track_name,track_artist,track_popularity,track_album_name,track_album_release_date,playlist_name,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
All Around The World (La La La) - Marnik Remix,R3HAB,64,All Around The World (La La La) [Marnik Remix],2019-08-23,Pop Remix,pop,dance pop,0.708,0.913,9,-4.329,0,0.0348,0.089,0.081,0.113,0.707,135.016,170667
Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,David Guetta,62,Don't Leave Me Alone (feat. Anne-Marie) [EDX's Indian Summer Remix],2019-05-08,Pop Remix,pop,dance pop,0.684,0.818,4,-4.477,0,0.128,0.0469,3.39E-06,0.119,0.336,123.938,210968
Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,The Chainsmokers,58,Do You Mean - The Remixes (feat. Ty Dolla $ign & bülow),2019-05-24,Pop Remix,pop,dance pop,0.62,0.889,11,-3.785,1,0.0352,0.0163,1.86E-05,0.395,0.422,110.018,205093
One Thing Right - Firebeatz Remix,Marshmello,66,One Thing Right (Remixes),2019-08-09,Pop Remix,pop,dance pop,0.682,0.851,1,-7.117,0,0.0363,0.0146,0.000834,0.0289,0.348,126,192381
Happier - Matt Medved Remix,Marshmello,59,Happier (Remixes Pt. 2),2018-11-30,Pop Remix,pop,dance pop,0.816,0.833,5,-5.972,1,0.0511,0.126,9.09E-06,0.0625,0.793,122.032,170164
Side Effects - Fedde Le Grand Remix,The Chainsmokers,63,Side Effects - Remixes,2018-07-25,Pop Remix,pop,dance pop,0.633,0.854,0,-4.046,0,0.0432,0.0382,2.83E-05,0.434,0.659,126.026,172360
Higher Love,Kygo,87,Higher Love,2019-06-28,Pop Remix,pop,dance pop,0.693,0.678,8,-7.159,1,0.0324,0.0154,6.05E-06,0.101,0.404,103.952,228267
Unlove You,Armin van Buuren,62,Unlove You,2019-10-18,Pop Remix,pop,dance pop,0.678,0.928,3,-3.66,0,0.0597,0.0303,3.33E-05,0.143,0.663,116.892,150160
bad guy (with Justin Bieber),Billie Eilish,83,bad guy (with Justin Bieber),2019-07-11,Pop Remix,pop,dance pop,0.67,0.453,0,-11.265,1,0.295,0.252,0.33,0.117,0.68,135.055,194840
Heaven Can Wait - The Aston Shuffle Remix,Sia,61,Heaven Can Wait (The Aston Shuffle Remix),2019-05-24,Pop Remix,pop,dance pop,0.622,0.859,5,-7.626,1,0.0636,0.000609,0.746,0.0909,0.442,121.968,218373
Crash Into Me - Settle Down Steavis Aoki Remix,Steve Aoki,34,Crash Into Me (Settle Down Steavis Aoki Remix),2019-11-12,Pop Remix,pop,dance pop,0.535,0.956,1,-2.996,0,0.0343,0.000609,0.0109,0.262,0.12,127.984,266719
Promises (with Sam Smith) - David Guetta Remix,Calvin Harris,63,Promises (with Sam Smith) [Remixes],2018-10-19,Pop Remix,pop,dance pop,0.588,0.697,3,-4.744,0,0.0372,0.186,0.000219,0.103,0.225,125.157,190417
Flames (with ZAYN) - R3HAB & Skytech VIP Remix,R3HAB,55,Flames (with ZAYN) (R3HAB & Skytech VIP Remix),2019-12-12,Pop Remix,pop,dance pop,0.355,0.789,5,-4.358,0,0.165,0.0148,0,0.0355,0.169,80.444,237686
Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,DJ Snake,63,Loco Contigo (with J. Balvin & Tyga) [Cedric Gervais Remix],2019-08-09,Pop Remix,pop,dance pop,0.752,0.84,6,-4.451,0,0.0373,0.00486,0.0109,0.0916,0.461,124.002,279800
Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,David Guetta,58,Stay (Don't Go Away) [feat. Raye] [Mark Knight Remix],2019-07-11,Pop Remix,pop,dance pop,0.607,0.995,9,-2.325,0,0.0487,0.0921,0.002,0.0445,0.664,124.998,188640
Talk - Disclosure VIP,Khalid,60,Talk (Disclosure VIP),2019-03-27,Pop Remix,pop,dance pop,0.775,0.867,4,-7.388,0,0.204,0.0158,0.0117,0.0355,0.565,128.956,273229
Call You Mine,The Chainsmokers,39,World War Joy,2019-05-31,Dance Pop,pop,dance pop,0.591,0.702,7,-5.59,1,0.0289,0.225,0,0.414,0.501,104.003,217653
Post Malone (feat. RANI),Sam Feldt,83,Magnets EP,2019-05-24,Dance Pop,pop,dance pop,0.59,0.642,7,-3.87,1,0.122,0.0771,0,0.105,0.651,107.356,174444
Here With Me,Marshmello,83,Here With Me,2019-03-08,Dance Pop,pop,dance pop,0.791,0.565,5,-3.933,0,0.0439,0.0623,0,0.156,0.181,99.961,156347
Never Really Over,Katy Perry,85,Never Really Over,2019-05-31,Dance Pop,pop,dance pop,0.77,0.882,8,-4.792,1,0.0602,0.194,0,0.316,0.385,99.991,223523
South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,65,South of the Border (feat. Camila Cabello & Cardi B) [Sam Feldt Remix],2019-10-04,Dance Pop,pop,dance pop,0.789,0.858,5,-4.388,1,0.0404,0.22,4.58E-05,0.335,0.491,110.012,173455
Takeaway (feat. Lennon Stella),The Chainsmokers,67,World War Joy...Takeaway,2019-07-24,Dance Pop,pop,dance pop,0.294,0.505,3,-8.106,1,0.042,0.12,0,0.0977,0.357,85.332,209893
What I Like About You (feat. Theresa Rex),Jonas Blue,81,What I Like About You (feat. Theresa Rex),2019-03-22,Dance Pop,pop,dance pop,0.46,0.8,1,-3.584,1,0.05,0.289,6.16E-06,0.121,0.553,102.46,220396
Not Ok,Kygo,73,Not Ok,2019-05-23,Dance Pop,pop,dance pop,0.618,0.66,11,-8.14,0,0.0372,0.0292,2.07E-06,0.325,0.408,105,210944
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,79,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",2019-04-19,Dance Pop,pop,dance pop,0.591,0.705,9,-6.519,0,0.079,0.381,0.000116,0.131,0.27,121.799,215316
Polaroid,Jonas Blue,16,Blue,2018-11-09,Dance Pop,pop,dance pop,0.652,0.898,7,-4.481,0,0.0361,0.29,0,0.073,0.472,114.043,193377
Lost In Japan - Remix,Shawn Mendes,75,Lost In Japan (Remix),2018-09-27,Dance Pop,pop,dance pop,0.706,0.855,10,-5.377,1,0.215,0.0911,0,0.347,0.293,107.184,201253
SOS,Avicii,30,SOS,2019-04-10,Dance Pop,pop,dance pop,0.802,0.645,5,-6.181,0,0.0715,0.272,0,0.119,0.376,100.001,157202
The Middle,Zedd,84,The Middle,2018-01-23,Dance Pop,pop,dance pop,0.753,0.657,7,-3.061,1,0.0449,0.171,0,0.112,0.437,107.01,184732
Crash Into Me,Steve Aoki,37,Crash Into Me,2019-07-12,Dance Pop,pop,dance pop,0.672,0.815,1,-6.476,0,0.0981,0.00246,0,0.577,0.341,115.033,226093
Let It Be Me,Steve Aoki,52,Let It Be Me,2019-09-06,Dance Pop,pop,dance pop,0.661,0.758,7,-5.299,1,0.0864,0.0797,0,0.106,0.387,114.098,224061
No Sleep (feat. Bonn),Martin Garrix,76,No Sleep (feat. Bonn),2019-02-21,Dance Pop,pop,dance pop,0.44,0.635,11,-6.385,1,0.0326,0.129,0,0.121,0.327,128.133,207095
Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,77,Faith (with Dolly Parton) [feat. Mr. Probz],2019-10-25,Dance Pop,pop,dance pop,0.547,0.795,8,-3.721,1,0.0489,0.145,0,0.11,0.723,118.118,186805
Think About You,Kygo,71,Think About You,2019-02-14,Dance Pop,pop,dance pop,0.673,0.596,10,-7.891,1,0.0354,0.166,0,0.11,0.19,123.969,208567
Ritual,Tiësto,82,Ritual,2019-05-31,Dance Pop,pop,dance pop,0.647,0.726,3,-4.389,0,0.0552,0.157,0,0.0844,0.767,114.996,198996
All Comes Back To You,R3HAB,72,All Comes Back To You,2019-10-25,Dance Pop,pop,dance pop,0.726,0.763,4,-6.872,1,0.0882,0.524,2.64E-06,0.0943,0.516,128.02,160312
Something Real,Armin van Buuren,65,Something Real,2019-07-12,Dance Pop,pop,dance pop,0.575,0.808,1,-4.578,1,0.0439,0.0446,0,0.0693,0.232,127.922,179531
Home (feat. Bonn),Martin Garrix,72,Home (feat. Bonn),2019-08-16,Dance Pop,pop,dance pop,0.466,0.612,8,-4.855,0,0.0307,0.0655,4.07E-06,0.132,0.236,128.114,239067
Stay,Zedd,79,Stay,2017-02-23,Dance Pop,pop,dance pop,0.69,0.622,5,-5.025,0,0.0622,0.253,0,0.116,0.544,102.04,210091
Million Voices,Armin van Buuren,60,Balance,2019-10-25,Dance Pop,pop,dance pop,0.466,0.869,3,-4.275,1,0.0529,0.0142,0.00241,0.115,0.185,126.113,187150
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,83,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",2018-09-28,Dance Pop,pop,dance pop,0.842,0.801,8,-4.167,0,0.228,0.157,4.82E-06,0.0642,0.617,95.881,212500
Closer (feat. Halsey),The Chainsmokers,85,Closer (feat. Halsey),2016-07-29,Dance Pop,pop,dance pop,0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,244960
Clarity,Zedd,74,Clarity,2012-01-01,Dance Pop,pop,dance pop,0.509,0.781,8,-3.48,1,0.072,0.0398,0,0.0749,0.176,128,271427
Scared to Be Lonely,Martin Garrix,81,Scared to Be Lonely,2017-01-27,Dance Pop,pop,dance pop,0.584,0.54,1,-7.786,0,0.0576,0.0895,0,0.261,0.195,137.972,220883
Friends (with BloodPop®),Justin Bieber,76,Friends (with BloodPop®),2017-08-17,Dance Pop,pop,dance pop,0.743,0.733,8,-5.337,1,0.0375,0.00402,0,0.304,0.622,104.977,189467
Promises (with Sam Smith),Calvin Harris,84,Promises (with Sam Smith),2018-08-17,Dance Pop,pop,dance pop,0.781,0.768,11,-5.991,1,0.0394,0.0119,4.91E-06,0.325,0.486,123.07,213309
2U,David Guetta,66,2U,2017-06-09,Dance Pop,pop,dance pop,0.551,0.651,8,-5.828,0,0.0594,0.225,0,0.224,0.562,144.875,194907
Something Just Like This,The Chainsmokers,83,Memories...Do Not Open,2017-04-07,Dance Pop,pop,dance pop,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44E-05,0.164,0.446,103.019,247160
One Kiss (with Dua Lipa),Calvin Harris,85,One Kiss (with Dua Lipa),2018-04-06,Dance Pop,pop,dance pop,0.791,0.862,9,-3.24,0,0.11,0.037,2.19E-05,0.0814,0.592,123.994,214847
It Ain’t Me (with Selena Gomez),Kygo,69,It Ain't Me,2017-02-17,Dance Pop,pop,dance pop,0.64,0.533,0,-6.596,1,0.0706,0.119,0,0.0864,0.515,99.968,220781
Let Me Love You,DJ Snake,81,Encore,2016-08-05,Dance Pop,pop,dance pop,0.649,0.716,8,-5.371,1,0.0349,0.0863,2.63E-05,0.135,0.163,99.988,205947
Roses,The Chainsmokers,73,Roses,2015-06-16,Dance Pop,pop,dance pop,0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001,226739
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,61,Clarity (Deluxe),2012,Dance Pop,pop,dance pop,0.596,0.738,8,-3.109,1,0.0411,0.109,0,0.0947,0.461,127.961,217347
Flames,David Guetta,57,7,2018-09-14,Dance Pop,pop,dance pop,0.609,0.726,5,-4.346,0,0.0414,0.0723,8.45E-06,0.0895,0.362,93.958,195000
Sorry,Justin Bieber,81,Purpose (Deluxe),2015-11-13,Dance Pop,pop,dance pop,0.654,0.76,0,-3.669,0,0.045,0.0797,0,0.299,0.41,99.945,200787
This Is What You Came For,Calvin Harris,79,This Is What You Came For,2016-04-29,Dance Pop,pop,dance pop,0.63,0.928,9,-2.787,0,0.0331,0.199,0.124,0.148,0.465,123.963,222160
Wake Me Up,Avicii,84,TRUE,2013-01-01,Dance Pop,pop,dance pop,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427
Titanium (feat. Sia),David Guetta,66,Nothing but the Beat 2.0,2011-08-26,Dance Pop,pop,dance pop,0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,245040
Firework,Katy Perry,64,Teenage Dream,2010-01-01,Dance Pop,pop,dance pop,0.638,0.832,8,-5.039,1,0.049,0.141,0,0.113,0.648,124.071,227893
Mi Gente (feat. Beyoncé),J Balvin,61,Mi Gente (feat. Beyoncé),2017-09-28,Dance Pop,pop,dance pop,0.759,0.716,11,-6.36,0,0.0818,0.0223,0,0.231,0.469,105.009,209733
How Deep Is Your Love,Calvin Harris,77,How Deep Is Your Love,2015-07-17,Dance Pop,pop,dance pop,0.738,0.868,11,-4.373,0,0.0731,0.0389,0.00171,0.388,0.336,122.003,212640
Instagram,Dimitri Vegas & Like Mike,81,Instagram,2019-07-05,Dance Room,pop,dance pop,0.765,0.906,8,-2.097,0,0.0965,0.125,0,0.423,0.95,96.071,184558
Call You Mine - Asketa & Natan Chaim Remix,The Chainsmokers,58,Call You Mine - The Remixes,2019-07-19,Dance Room,pop,dance pop,0.577,0.844,7,-3.364,1,0.0406,0.00407,6.13E-06,0.499,0.283,115.066,183653
I Wanna Dance,Jonas Blue,67,I Wanna Dance,2019-07-19,Dance Room,pop,dance pop,0.825,0.841,0,-6.433,1,0.135,0.0906,0.00411,0.258,0.616,126.026,184582
BLUE,Tiësto,75,BLUE,2019-12-13,Dance Room,pop,dance pop,0.744,0.725,11,-6.055,1,0.0303,0.018,9.29E-06,0.212,0.904,118.034,167859
Something Real,Armin van Buuren,58,Balance,2019-10-25,Dance Room,pop,dance pop,0.575,0.808,1,-4.578,1,0.0439,0.0446,0,0.0693,0.232,127.922,179531
Stay (Don't Go Away) [feat. Raye],David Guetta,74,Stay (Don't Go Away) [feat. Raye],2019-05-09,Dance Room,pop,dance pop,0.669,0.797,9,-5.68,0,0.0624,0.259,0,0.199,0.552,119.865,185943
Used To Love (with Dean Lewis),Martin Garrix,83,Used To Love (with Dean Lewis),2019-10-31,Dance Room,pop,dance pop,0.651,0.693,4,-4.722,1,0.0375,0.458,0,0.335,0.392,118.97,236765
Lullaby,R3HAB,70,Lullaby,2018-01-26,Dance Room,pop,dance pop,0.626,0.8,1,-3.988,0,0.035,0.0267,0.000138,0.0623,0.258,127.966,160184
All This Time,Deorro,21,All This Time,2019-07-12,Dance Room,pop,dance pop,0.66,0.857,2,-5.219,1,0.321,0.167,1.36E-05,0.119,0.233,130.069,225160
Acordeão,Tiësto,63,Acordeão,2019-08-08,Dance Room,pop,dance pop,0.552,0.887,1,-3.812,1,0.147,0.0457,0.0207,0.0903,0.783,125.229,131204
All Around The World (La La La),R3HAB,80,All Around The World (La La La),2019-04-05,Dance Room,pop,dance pop,0.733,0.859,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948,147840
Are You Lonely (feat. ISÁK),Steve Aoki,47,Are You Lonely (feat. ISÁK),2019-02-22,Dance Room,pop,dance pop,0.517,0.793,6,-5.851,0,0.0367,0.0214,0.00046,0.0892,0.176,90.06,157333
Never Be Alone (feat. Aloe Blacc),David Guetta,68,Never Be Alone (feat. Aloe Blacc),2019-07-26,Dance Room,pop,dance pop,0.535,0.906,6,-4.699,0,0.0353,0.0202,0.000715,0.0886,0.732,126.012,178671
South of the Border (feat. Camila Cabello & Cardi B) - Cheat Codes Remix,Ed Sheeran,69,South of the Border (feat. Camila Cabello & Cardi B) [Cheat Codes Remix],2019-09-27,Cardio,pop,dance pop,0.845,0.766,2,-5.727,0,0.0658,0.212,0,0.111,0.782,114.054,195924
Not Ok - Frank Walker Remix,Kygo,66,Not Ok (Frank Walker Remix),2019-07-05,Cardio,pop,dance pop,0.679,0.866,2,-3.754,1,0.0566,0.0337,0,0.0688,0.441,121.927,183934
Don’t Give Up On Me Now (with Julie Bergan),R3HAB,63,Don’t Give Up On Me Now (with Julie Bergan),2019-05-10,Cardio,pop,dance pop,0.687,0.706,4,-5.357,1,0.0459,0.091,0,0.124,0.27,115.268,127826
Let It Be Me,Steve Aoki,23,Let It Be Me,2019-09-06,Cardio,pop,dance pop,0.661,0.758,7,-5.299,1,0.0864,0.0797,0,0.106,0.387,114.098,224061
Carry On - Nicky Romero Remix,Kygo,67,Carry On (Nicky Romero Remix),2019-05-30,Cardio,pop,dance pop,0.447,0.684,9,-4.721,0,0.09,0.175,0,0.478,0.437,125.655,175312
Magnets (feat. Sophie Simmons),Sam Feldt,62,Magnets (feat. Sophie Simmons),2019-05-10,Cardio,pop,dance pop,0.731,0.802,5,-4.763,1,0.0623,0.022,0,0.059,0.434,121.991,179016
These Are The Times (feat. JRM),Martin Garrix,71,These Are The Times (feat. JRM),2019-07-18,Cardio,pop,dance pop,0.687,0.707,4,-6.19,1,0.0328,0.0536,9.29E-05,0.16,0.607,127.033,188656
Wherever You Go,Jonas Blue,21,Blue,2018-11-09,Cardio,pop,dance pop,0.711,0.724,7,-4.809,1,0.106,0.0835,0,0.0389,0.478,104.048,208947
Happy Now,Kygo,81,Happy Now,2018-10-26,Cardio,pop,dance pop,0.693,0.575,9,-6.998,1,0.0801,0.374,0,0.252,0.492,117.999,211362
Talk - Alle Farben Remix,Khalid,56,Talk (Alle Farben Remix),2019-04-04,Cardio,pop,dance pop,0.638,0.818,9,-4.517,0,0.05,0.131,1.78E-05,0.107,0.489,126.015,167990
Summer Air (feat. Trevor Guthrie),Hardwell,40,Summer Air (feat. Trevor Guthrie),2019-05-31,Cardio,pop,dance pop,0.632,0.574,4,-8.584,1,0.053,0.0942,0,0.215,0.557,125.989,201905
I'm Not Sorry,Hardwell,34,I'm Not Sorry,2019-03-08,Cardio,pop,dance pop,0.65,0.819,4,-3.811,1,0.0551,0.117,0,0.0772,0.351,128.09,186094
Happier - Frank Walker Remix,Marshmello,51,Happier (Remixes),2018-10-19,Cardio,pop,dance pop,0.712,0.646,5,-4.23,1,0.182,0.116,0,0.123,0.607,104.998,196571
Better When You're Gone,David Guetta,76,Better When You're Gone,2019-02-08,Cardio,pop,dance pop,0.647,0.795,1,-3.548,0,0.0372,0.0635,0,0.188,0.409,127.992,192402
2 Hearts (feat. Gia Koka),Sam Feldt,70,2 Hearts (feat. Gia Koka),2020-01-10,Cardio,pop,dance pop,0.503,0.754,7,-3.634,1,0.0424,0.264,5.85E-05,0.297,0.597,116.524,186750
Post Malone (feat. RANI),Sam Feldt,75,Post Malone (feat. RANI) [Joe Stone Remix],2019-08-16,Dance Pop Hits,pop,dance pop,0.59,0.642,7,-3.87,1,0.122,0.0771,0,0.105,0.651,107.356,174444
Heaven,Avicii,80,TIM,2019-06-06,Dance Pop Hits,pop,dance pop,0.592,0.873,9,-5.65,1,0.0275,0.0715,0.00982,0.142,0.516,122.011,277262
There's No Way (feat. Julia Michaels) - Alle Farben Remix,Lauv,58,There's No Way (remixes),2018-11-01,Dance Pop Hits,pop,dance pop,0.768,0.83,11,-4.983,0,0.036,0.0229,0.000127,0.145,0.444,126.007,187301
"fuck, i’m lonely (with Anne-Marie) - Ofenbach Remix",Lauv,58,"fuck, i’m lonely (with Anne-Marie) (Ofenbach Remix)",2019-08-30,Dance Pop Hits,pop,dance pop,0.763,0.674,9,-5.146,1,0.0378,0.0106,3.58E-06,0.0321,0.759,105.027,178512
Happier - Breathe Carolina Remix,Marshmello,62,Happier (Remixes),2018-10-19,Dance Pop Hits,pop,dance pop,0.691,0.924,0,-3.839,1,0.0577,0.00828,3.80E-06,0.402,0.34,125.983,158095
Darkside,Alan Walker,76,Different World,2018-12-14,Dance Pop Hits,pop,dance pop,0.43,0.606,4,-5.115,0,0.0431,0.131,0,0.173,0.123,169.988,211680
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,83,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2019-04-25,Dance Pop Hits,pop,dance pop,0.661,0.723,5,-6.976,0,0.0566,0.179,1.23E-05,0.14,0.316,113.778,163805
Think About You - Galantis Remix,Kygo,63,Think About You (Galantis Remix),2019-04-12,Dance Pop Hits,pop,dance pop,0.621,0.898,10,-4.569,1,0.0401,0.0976,1.08E-05,0.404,0.332,124.018,181040
All Falls Down (feat. Juliander),Alan Walker,70,Different World,2018-12-14,Dance Pop Hits,pop,dance pop,0.655,0.672,1,-4.966,1,0.0581,0.253,0,0.312,0.675,98.005,198880
Lonely Together (feat. Rita Ora),Avicii,6,Phoenix (Deluxe Edition),2018-11-23,Dance Pop Hits,pop,dance pop,0.638,0.656,5,-5.299,1,0.0611,0.143,5.76E-05,0.094,0.271,103.081,181960
Remind Me to Forget,Kygo,70,Kids in Love,2017-11-03,Dance Pop Hits,pop,dance pop,0.689,0.505,0,-6.389,1,0.0933,0.158,0,0.138,0.312,99.017,217293
Giant (with Rag'n'Bone Man),Calvin Harris,83,Giant (with Rag'n'Bone Man),2019-01-11,Dance Pop Hits,pop,dance pop,0.807,0.887,1,-4.311,0,0.0361,0.016,0.000503,0.0811,0.606,122.015,229184
Happier - Tiësto’s AFTR:HRS Remix,Ed Sheeran,53,Happier (Tiësto’s AFTR:HRS Remix),2018-06-01,Dance Pop Hits,pop,dance pop,0.684,0.823,0,-4.881,1,0.0296,0.00576,7.42E-06,0.201,0.384,117.993,216000
Without You (feat. Sandro Cavazza),Avicii,81,AVICI (01),2017-08-10,Dance Pop Hits,pop,dance pop,0.662,0.858,2,-4.844,1,0.0428,0.00163,0,0.0456,0.295,133.993,181673
Stargazing,Kygo,73,Stargazing - EP,2017-09-21,Dance Pop Hits,pop,dance pop,0.677,0.497,5,-5.763,1,0.0809,0.152,0,0.0911,0.419,99.137,236853
The Nights,Avicii,80,The Days / Nights,2014-01-01,Dance Pop Hits,pop,dance pop,0.527,0.835,6,-5.298,1,0.0433,0.0166,0,0.249,0.654,125.983,176658
Mama,Jonas Blue,74,Blue,2018-11-09,Dance Pop Hits,pop,dance pop,0.738,0.794,11,-4.118,0,0.0416,0.101,0,0.0533,0.566,104.014,184134
Jackie Chan,Tiësto,79,Jackie Chan,2018-05-18,Dance Pop Hits,pop,dance pop,0.747,0.834,3,-2.867,0,0.045,0.374,0,0.0586,0.687,128.005,215760
High On Life (feat. Bonn),Martin Garrix,77,High On Life (feat. Bonn),2018-07-29,Pop Warmup 130 BPM,pop,dance pop,0.414,0.486,6,-6.431,0,0.0311,0.0129,0,0.111,0.368,128.038,230762
Burn Out (feat. Dewain Whitmore),Martin Garrix,68,Burn Out (feat. Dewain Whitmore),2018-09-14,Pop Warmup 130 BPM,pop,dance pop,0.594,0.722,4,-5.751,0,0.0398,0.0156,0,0.0667,0.407,127.877,200322
bad guy,Billie Eilish,95,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,Pop Warmup 130 BPM,pop,dance pop,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088
Glitch,Martin Garrix,56,Glitch,2018-12-14,Pop Warmup 130 BPM,pop,dance pop,0.715,0.792,2,-6.4,0,0.0325,0.055,0.0236,0.269,0.357,128.024,185161
Halfway There (feat. Lena Leon),Tiësto,60,Halfway There (feat. Lena Leon),2019-03-15,Pop Warmup 130 BPM,pop,dance pop,0.59,0.888,0,-4.151,1,0.0797,0.000753,0.00535,0.817,0.0715,128.025,195000
Mama Look at Me Now,Galantis,56,Satisfied (feat. MAX) / Mama Look at Me Now,2018-07-13,Pop Warmup 130 BPM,pop,dance pop,0.59,0.678,10,-5.48,1,0.0384,0.0259,2.20E-05,0.0707,0.4,126.061,178132
Wild Wild Son,Armin van Buuren,57,Wild Wild Son,2018-10-12,Pop Warmup 130 BPM,pop,dance pop,0.446,0.573,3,-5.081,1,0.0279,0.0416,0,0.108,0.167,135.96,213707
