"spam","to_multiple","from","cc","sent_email","time","image","attach","dollar","winner","inherit","viagra","password","num_char","line_breaks","format","re_subj","exclaim_subj","urgent_subj","exclaim_mess","number"
0,0,1,0,1,2012-02-09 05:51:43,0,0,0,"no",0,0,0,5.259,140,1,1,0,0,8,"small"
0,1,1,5,0,2012-01-23 06:03:19,0,0,0,"no",0,0,0,2.78,69,0,1,0,0,1,"small"
0,0,1,0,1,2012-02-01 08:12:20,0,0,0,"no",0,0,0,5.864,142,1,1,0,0,6,"small"
0,1,1,0,0,2012-03-23 10:42:28,0,0,0,"no",0,0,0,9.928,219,1,0,0,0,4,"small"
0,0,1,0,0,2012-02-14 05:43:48,0,0,0,"no",0,0,2,25.209,725,1,0,0,0,2,"small"
0,0,1,0,0,2012-01-19 15:33:55,0,0,0,"no",0,0,0,6.563,140,1,0,0,0,2,"big"
0,0,1,0,0,2012-01-21 09:35:48,0,0,0,"no",0,0,0,24.599,621,1,0,0,0,1,"small"
0,0,1,0,0,2012-01-25 14:37:06,0,0,0,"no",0,0,0,25.757,645,1,0,0,0,1,"small"
0,1,1,0,0,2012-03-06 09:03:41,0,0,0,"no",0,0,0,0.409,13,0,0,0,0,1,"small"
0,0,1,0,1,2012-03-25 14:08:44,0,0,0,"no",0,0,0,11.223,512,1,0,0,0,9,"big"
0,0,1,0,0,2012-02-14 16:17:09,0,0,0,"no",0,0,0,3.778,98,1,0,0,0,0,"small"
0,0,1,0,0,2012-03-01 02:00:01,0,0,0,"no",0,0,2,1.493,35,0,0,0,0,1,"none"
0,0,1,0,0,2012-02-10 10:34:42,0,0,0,"no",0,0,8,10.613,225,1,0,0,0,9,"big"
0,0,1,0,1,2012-01-12 13:44:54,0,0,0,"no",0,0,0,0.493,13,1,0,0,0,0,"none"
0,1,1,0,0,2012-01-06 12:14:47,0,0,0,"no",0,0,0,4.415,61,0,0,0,0,1,"small"
0,0,1,1,1,2012-03-21 08:39:21,0,0,0,"no",0,0,0,14.156,300,1,1,0,0,0,"small"
0,0,1,0,1,2012-02-13 12:19:36,0,0,0,"no",0,0,0,9.491,233,1,1,0,0,18,"small"
0,0,1,0,0,2012-01-25 14:18:37,0,0,0,"no",0,0,0,24.837,629,1,0,0,0,1,"small"
0,0,1,0,0,2012-01-24 15:44:52,0,0,0,"no",0,0,0,0.684,17,1,0,0,0,1,"small"
1,0,1,0,0,2012-02-29 15:36:55,0,0,0,"no",0,0,0,13.502,193,0,0,0,0,1,"none"
0,1,1,0,0,2012-03-06 06:10:00,0,0,0,"no",0,0,0,2.789,44,0,0,0,0,0,"small"
0,0,1,0,1,2012-03-14 10:08:27,0,0,0,"no",0,0,0,1.169,35,1,1,0,0,0,"small"
0,0,1,1,1,2012-02-10 08:27:48,0,0,0,"no",0,0,0,8.937,211,1,1,0,0,2,"small"
0,0,1,0,0,2012-01-04 10:27:36,0,0,0,"no",0,0,0,15.829,242,1,0,0,0,4,"small"
